name,score,beer style,abv,cal,city,country,link
Juguetes Perdidos Imperial Porter Barrel Aged with Dried Sour Cherries,3.42,Imperial Porter,10,300.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-imperial-porter-barrel-aged-with-dried-sour-cherries/522012/
Shopron,3.37,Porter,6.2,186.0,Capital Federal,Argentina,/beer/shopron-porter/55731/
Murray's IPA,3.36,India Pale Ale (IPA),7.5,225.0,Buenos Aires,Argentina,/beer/murrays-ipa/57964/
Juguetes Perdidos Imperial Saison Chardonay Barrel,3.36,Saison,11.7,351.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-imperial-saison-chardonay-barrel/522225/
La Loggia Imperial Stout,3.36,Imperial Stout,11,330.0,Olivos,Argentina,/beer/la-loggia-imperial-stout/70569/
Antares IPA,3.33,India Pale Ale (IPA),7,210.0,Mar del Plata - P. de Bs As,Argentina,/beer/antares-ipa/71783/
Rubia y Negra,3.32,Scotch Ale,6,180.0,Buenos Aires,Argentina,/beer/rubia-y-negra-scotch-ale/60179/
Antares Imperial Stout,3.31,Imperial Stout,8.5,255.0,Mar del Plata - P. de Bs As,Argentina,/beer/antares-imperial-stout/41129/
Los Bichos Mandan Patagonia Wild Berries Sour,3.31,Lambic Style - Fruit,5.55,167.0,Buenos Aires,Argentina,/beer/los-bichos-mandan-patagonia-wild-berries-sour/521926/
Beagle Fuegian Cream Stout,3.29,Sweet Stout,6.2,186.0,Ushuaia,Argentina,/beer/beagle-fuegian-cream-stout/219693/
Berlina Foreign Stout,3.28,Foreign Stout,6,180.0,San Carlos de Bariloche,Argentina,/beer/berlina-foreign-stout/57120/
Antares Cream Stout,3.27,Stout,7,210.0,Mar del Plata - P. de Bs As,Argentina,/beer/antares-cream-stout/41126/
Los Bichos Mandan Red Hot Chili Sour,3.25,Sour Red/Brown,5.6,168.0,Buenos Aires,Argentina,/beer/los-bichos-mandan-red-hot-chili-sour/521927/
Berlina Colonia Suiza,3.25,Golden Ale/Blond Ale,7,210.0,San Carlos de Bariloche,Argentina,/beer/berlina-colonia-suiza/345721/
Berlina Old Ale,3.24,Old Ale,7.5,225.0,San Carlos de Bariloche,Argentina,/beer/berlina-old-ale/310092/
Me Echó La Burra Negra,3.24,Dunkelweizen,8,240.0,San Carlos,Argentina,/beer/me-echo-la-burra-negra/313977/
Eisenbrucke Russian Imperial Stout,3.23,Imperial Stout,13,390.0,Gorbernador Mansilla,Argentina,/beer/eisenbrucke-russian-imperial-stout/174900/
Los Bichos Mandan Golden Sour Peaches,3.23,Lambic Style - Fruit,5.2,156.0,Buenos Aires,Argentina,/beer/los-bichos-mandan-golden-sour-peaches/521922/
Juguetes Perdidos Imperial Stout,3.22,Imperial Stout,12.2,366.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-imperial-stout/522500/
Itzel American Rye IPA,3.21,American Pale Ale,6.7,201.0,Buenos Aires,Argentina,/beer/itzel-american-rye-ipa/494884/
Murray's Old Ale,3.21,Old Ale,-,,Buenos Aires,Argentina,/beer/murrays-old-ale/67024/
Berlina India Pale Ale,3.2,India Pale Ale (IPA),4.8,144.0,San Carlos de Bariloche,Argentina,/beer/berlina-india-pale-ale/57119/
Barba Roja Barrel Aged Red Ale,3.19,American Strong Ale,9,270.0,Escobar,Argentina,/beer/barba-roja-barrel-aged-red-ale/106046/
El Bolson Negra Extra,3.18,Dunkel/Tmavý,6,180.0,El Bolson,Argentina,/beer/el-bolson-negra-extra/7165/
Buller India Pale Ale,3.18,India Pale Ale (IPA),6,180.0,Buenos Aires,Argentina,/beer/buller-india-pale-ale/20737/
Rubia y Negra,3.17,Stout,5,150.0,Buenos Aires,Argentina,/beer/rubia-y-negra-stout/60180/
Juguetes Perdidos Strong Dark Belgian Cognac Barrel,3.16,Belgian Strong Ale,12.6,378.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-strong-dark-belgian-cognac-barrel/522240/
Buller Dry Stout,3.16,Dry Stout,5.8,174.0,Buenos Aires,Argentina,/beer/buller-dry-stout/21203/
Kraken Imperial Stout,3.16,Imperial Stout,10,300.0,Buenos Aires,Argentina,/beer/kraken-imperial-stout/138006/
Bersaglier Cream Stout,3.15,Stout,6,180.0,San Martín,Argentina,/beer/bersaglier-cream-stout/52616/
Cape Horn Oatmeal Stout,3.15,Stout,4.8,144.0,Usuhaia,Argentina,/beer/cape-horn-oatmeal-stout/85419/
Araucana Negra Bock,3.15,Dunkler Bock,7.2,216.0,El Bolson,Argentina,/beer/araucana-negra-bock/57965/
Del Castillo Stout Ahumada,3.15,Smoked,13,390.0,Chascomús,Argentina,/beer/del-castillo-stout-ahumada/67486/
Juguetes Perdidos Monster Ale,3.15,Imperial IPA,12.3,369.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-monster-ale/522217/
